お名前(HN可),所属陣営,年末の日経平均株価は？
マックス,草を食べて暮らそう会,999999
ULTRAGENKI 旧サバイブ,湘南投資勉強会,77777
日生牡蠣,どちらの勉強会にもまだ参加したことがないです,58000
Tommy,湘南投資勉強会,52400
ダンベルドア,湘南投資勉強会,52000
とおるがfire,湘南投資勉強会,51000
あべんどT,湘南投資勉強会,51000
sei,湘南投資勉強会,51000
リネラブ,神戸投資勉強会,50100
次男坊,神戸投資勉強会,50000
ten,所属がわかりません。,50000
メイプル,湘南投資勉強会,50000
Kamakura,湘南投資勉強会,50000
マー,湘南投資勉強会,50000
スーパーこさく,神戸投資勉強会,50000
かまやき,神戸投資勉強会,49500
ともろん,湘南投資勉強会,49000
oct,湘南投資勉強会,49000
ドライブ,湘南投資勉強会,49000
saku,湘南投資勉強会,48915
roku,湘南投資勉強会,48500
天パの電波ちゃん,神戸投資勉強会,48500
ふくろう,湘南投資勉強会,48296
ヨシュア,湘南投資勉強会,48000
タッピィ,所属していません,48000
ちゃちゃ,神戸投資勉強会,47714
ゆき,湘南投資勉強会,47500
しも,湘南投資勉強会,47000
KM,神戸投資勉強会,47000
まる,湘南投資勉強会,46500
日本酒軽,湘南投資勉強会,46490
めがね,神戸投資勉強会,46252
愛媛のユウ,神戸投資勉強会,46250
ちちざっぷ,湘南投資勉強会,46000
まろまろ,湘南投資勉強会,46000
neko4979,東京勉強会,46000
今亀庵,湘南投資勉強会,46000
ブライ,神戸投資勉強会,46000
岩田屋,神戸投資勉強会,46000
EK,湘南投資勉強会,46000
カズ,湘南投資勉強会,46000
すっぴー,滋賀投資勉強会,45800
ISO,湘南投資勉強会,45600
初心,湘南投資勉強会,45500
pekepeke,湘南投資勉強会,45500
ヒロ,湘南投資勉強会,45500
だいたーん,湘南投資勉強会,45300
フィナンシェ,神戸投資勉強会,45240
TS開運,湘南投資勉強会,45001
五十嵐康伸,湘南投資勉強会,45000
町田,まだ所属できておりません,45000
タピ,湘南投資勉強会,45000
momota,無所属です,45000
先高,湘南投資勉強会,45000
かめぞう,湘南投資勉強会,45000
Hikaru,湘南投資勉強会,45000
Meril,湘南投資勉強会,45000
yume,湘南投資勉強会,45000
マッキー,湘南投資勉強会,45000
トモ,湘南投資勉強会,45000
キユーピー,湘南投資勉強会,45000
masa,湘南投資勉強会,45000
ににもも,湘南投資勉強会,45000
ヒロユキ,初参加,45000
まつ,湘南投資勉強会,45000
たかたか,神戸投資勉強会,45000
KZお,湘南投資勉強会,45000
keiko,湘南投資勉強会,45000
ウィン,湘南投資勉強会,45000
NY,神戸投資勉強会,45000
優子,神戸投資勉強会,45000
end,湘南投資勉強会,45000
SAKANA,湘南投資勉強会,45000
helen,特になし,45000
松本,湘南投資勉強会,45000
くま,特になし,45000
弁天。,湘南投資勉強会,45000
タイ,湘南投資勉強会,45000
たっくん,神戸投資勉強会,45000
VASHI,湘南投資勉強会,45000
まもる,神戸投資勉強会,45000
ダニエル,湘南投資勉強会,45000
ひろやん,無所属（一度、湘南投資勉強会に参加）,44874
PINO,湘南投資勉強会,44860
もけもけ山,湘南投資勉強会,44800
