お名前(HN可),所属陣営,今年上場廃止になりそうな会社は？
ごんきち,湘南投資勉強会,1429 日本アクア 思ったより業績が伸びず株価が下がったところをヒノキヤグループに買われてしまう。
日本酒軽,湘南投資勉強会,1515　日鉄鉱業
こいけ,湘南投資勉強会,1712 ダイセキ環境 ダイセキによるTOB
たかね,湘南投資勉強会,1712 ダイセキ環境ソリューション 親子上場
与野,湘南投資勉強会,1712 ダイセキ環境ソリューション　親子上場解消
マックス,草を食べて暮らそう会,1730 麻生フオームクリート 公開買付 の応募を推奨する旨が決議されたと思ってるため
いち,湘南投資勉強会,1776 三井住建道路　TOBにより
ぷに丸,湘南投資勉強会,1776 三井住建道路 三井住友建設によるTOB
なつみ,湘南投資勉強会,1776 三井住建道路 三井住友建設の親子上場解消。
くっすんすん,湘南投資勉強会,1776 三井住建道路 親子上場廃止
miya,湘南投資勉強会,1776 三井住建道路 親子上場廃止
くろせ,湘南投資勉強会,1811 銭高組 MBO
愛媛のユウ,神戸投資勉強会,1811 銭高組 MBO/TOBされて上場廃止になりそうな気がします。
ヒロ,湘南投資勉強会,1811 銭高組 MBOされそう
グコウさん,神戸投資勉強会,1821三住建設 アクティビスト頼み
ヒデゾー,湘南投資勉強会,1827 ナカノフドー  MBO
you,湘南投資勉強会,"1827 ナカノフドー
MBO。直近板の動きが不穏。大量保有報告は出ず。LIMと立花買ってる？浮動株減らしたい？"
とりお,湘南投資勉強会,1827 ナカノフドー建設
ヒロ,湘南投資勉強会,1827 ナカノフドー建設 MBO.TOBされそう
タダモノ,湘南投資勉強会,1847 イチケン　TOB
とらほう,神戸投資勉強会,1850　南海辰村建設 TOB
野松　隆博,湘南投資勉強会,1871　ピーエスコンストラクション　大成建設との親子上場　個人株主で大株主が無く、TOBしやすい。業績良好
HAL,神戸投資勉強会,187A サムティホールディングス ファンドに買収されたので
野松　隆博,湘南投資勉強会,1948　弘電社　三菱電機が50％株主　親会社の三菱電機に100億円を貸し付けている。時価総額160億円の会社であり、親会社の三菱電機は、多少プレミアムを付けてTOBしても十分ペイできる。
Y.G.,湘南投資勉強会,1948 弘電社 三菱電機のTOB期待
あきら,神戸投資勉強会,1948　弘電社　三菱電機のＴＯＢ期待。
本屋,湘南投資勉強会,1948 弘電社 三菱電機子会社、三菱電機の方向性とは違いそうだしMBOとかないですかね。
ほしいも,湘南投資勉強会,1948 弘電社　親子上場解消で上場廃止になるのでは。業績もそこそこ良いので、そのままでも良いか。
モモクリン,湘南投資勉強会,1948弘電社 TOB
日本酒軽,湘南投資勉強会,1972　三晃金属工業
よっしー,湘南投資勉強会,2003 日東富士製粉 TOB
のり丸,新高値ブレイク投資塾,2134 北浜CP
ten,所属がわかりません。,2134 北浜キャピタルパートナーズ　株価、資本比率、負債も多く、立て直しが難しい。
初心者,神戸投資勉強会,2193 クックパッド　四期連続赤字で、ユーチューブが台頭してビジネスモデルに優位性がないから。
you,湘南投資勉強会,"2268 サーティーワン
流通株式比率基準未達。"
ごはん,湘南投資勉強会,2268　サーティワン　アイスクリーム 　流通量が少ない
ににもも,湘南投資勉強会,2268 サーティワン　不二家とダンキンブランズが80%以上株を持っている。
ボントレ,湘南投資勉強会,2281 プリマハム
いなじぃ,無所属,2281 プリマハム　 伊藤忠商事にTOB
kent,湘南投資勉強会,2281 プリマハム TOB
タダモノ,湘南投資勉強会,2281 プリマハム　TOB
スカイラー,湘南投資勉強会,2281 プリマハム 伊藤忠の親子上場解消に期待
josui,湘南投資勉強会,2281 プリマハム 伊藤忠商事によるTOB
ににもも,湘南投資勉強会,2281 プリマハム　今年こそはTOBされる…？！
太郎ちゃん,勉強会未参加,2281　プリマハム　親子上場解消
くま,湘南投資勉強会,2296 伊藤ハム
とっしー,湘南投資勉強会,2315カイカ　グループ再編でTOBあるかも
たぐけん,湘南投資勉強会,2321 ソフトフロント　債務超過
ぷに丸,湘南投資勉強会,2327 日鉄ソリューションズ 日本製鉄によるTOB
ピノキオ,湘南投資勉強会,2327 日鉄ソリューションズ 日本製鐵によるTOBで
大きなかぶ,湘南投資勉強会,"2329東北新社
MBO"
はっとり波平,無所属(kabuberry?),2335 キューブシステム 独立系SI 基本設計以降の工程を得意としており、時価総額が低いためTOB期待
TS開運,湘南投資勉強会,2388 ウェッジHD 債権者による完全子会社化
くろすけ,湘南投資勉強会,2410　キャリアデザインセンター　仮にプライムを断念した場合MBOになる可能性もあるのではないかと予想。
えびす,湘南投資勉強会,2484出前館、LINEヤフーによる子会社化TOB
あちし,湘南投資勉強会,2573 北海道コカ 親子上場解消
さーさ,神戸投資勉強会,2586 ピクセラ 株価が下落傾向のため
弁天。,湘南投資勉強会,2586 フルッタフルッタ 去年は来たアサイーブームが今年は起きず、資金繰り悪化。
