お名前(HN可),所属陣営,銘柄コード,年末時点で2倍になりそうな銘柄は？
ほくと,神戸投資勉強会,1332,ニッスイ　日本食のグローバル化と外国人の健康食としての魚の定着を期待
nazuna,湘南投資勉強会,1384,ホクリヨウ 卵価格高騰関連
あべんどT,湘南投資勉強会,1417,ミライト・ワン 買収したゼネコンが貢献、データセンター案件が伸びる
ビョル,神戸投資勉強会,1417,ミライトワン　データセンター関連
お蝶,湘南投資勉強会,1418,インターライフ 万博関連事業の伸び
えびす,湘南投資勉強会,1418,インターライフ 経営環境の安定、業績拡大、万博関連（販売先丹青社、株主取締役乃村工藝社）大阪IR関連（株主経営陣パチンコピーアール系、販売先大成建設）防災庁（災害対策室、危機管理センター建設実績あり）
なつみ,湘南投資勉強会,1429,日本アクア 2025年から断熱等級6増加見通し。DC関連も。
奥中 悠二朗,湘南投資勉強会,1429,日本アクア 各住宅メーカーが採用を始めている気がするので。
どみの,神戸投資勉強会,1429,日本アクア 戸建回復すれば、補助金ブーストもあって伸びそう
ヨシ,湘南投資勉強会,1434,JESCO 電気工事事業の業績好調+ベトナム事業の受注堅調
ボントレ,湘南投資勉強会,1540,純金信託ETF ゴールドのETF
リネラブ,神戸投資勉強会,1572,中国H株ブル2倍上場投信 財政出動による景気回復
イド,湘南投資勉強会,1605,INPEX GX関連で注目される
よつば,神戸投資勉強会,1663,K&Oエナジー　ペロブスカイトが今年は熱い！
お多福。,湘南投資勉強会,1663,K&Oエナジー　ヨウ素関連
ぱお,湘南投資勉強会,1663,K&Oエナジー ヨウ素生産大手
Bolsa,湘南投資勉強会,1663,K&Oエナジーグループ　ヨウ素関連でまだ割安
五十嵐康伸,湘南投資勉強会,1671,ＷＴＩ原油ＥＴＦ (1671) ：イスラエル-パレスチナ戦争とロシア-ウクライナ戦争が拡大して原材料高騰
五十嵐康伸,湘南投資勉強会,1687,ＷＴ農産物上場投信 (1687)：イスラエル-パレスチナ戦争とロシア-ウクライナ戦争が拡大して原材料高騰
