つぶ	神戸投資勉強会	1429	日本アクア	790	887	12.3%					サバイブ51	湘南投資勉強会	6131	浜井産業	1147	1431	24.8%										
銭闘志	湘南投資勉強会	1429	日本アクア	790	887	12.3%					サバイブ51	湘南投資勉強会	6158	和井田製作所	953	1029	8.0%										
アディ	湘南投資勉強会	1429	日本アクア	790	887	12.3%					さざなみ	湘南投資勉強会	AGFY	アグリファイ	9.2	1.26	-86.3%										
クロロ	神戸投資勉強会	1431	ＬｉｂＷｏｒｋ	779	759	-2.6%					ひんご	湘南投資勉強会	4369	トリケミカル	2096	3610	72.2%										
ケンヂ	湘南投資勉強会	1514	住石ホールディングス	388	1095	182.2%					ayame	湘南投資勉強会	8130	サンゲツ	2125	3100	45.9%				roku	湘南投資勉強会	7059	コプロ・ホールディングス	504	1525	202.6%
人間	湘南投資勉強会	1572	中国Ｈ株ブル２倍	5465	3401	-37.8%					雑魚投資家ベイベ	湘南投資勉強会	TSM	TSMC	81.3	104	27.9%										
タイ	湘南投資勉強会	1689	ＷＴ天然ガス上場投	3750	1551	-58.6%					大きなかぶ	湘南投資勉強会	5125	ファインズ	1335	574	-57.0%										
えびす	湘南投資勉強会	1712	ダイセキ環境ソリューション	937	1086	15.9%					くま	湘南投資勉強会	4074	ラキール	1165	1506	29.3%										
加藤バネ男	神戸投資勉強会	1799	第一建設工業	1353	1665	23.1%					きよし(湘南)	湘南投資勉強会	5136	ｔｒｉｐｌａ	2000	1575	-21.3%										
えびす	湘南投資勉強会	1929	日特建設	905	1061	17.2%					グコウさん	神戸投資勉強会	7114	フーディソン	2743	1647	-40.0%										
よっしー??	神戸投資勉強会	1938	日本リーテック	877	1185	35.1%					えびす	湘南投資勉強会	1712	ダイセキ環境ソリューション	937	1086	15.9%										
よっしー??	神戸投資勉強会	2107	東洋精糖	854	2040	138.9%					fukufukurou	神戸投資勉強会	9272	ブティックス	1877.5	1575	-16.1%				オニール好きの投資家	湘南投資勉強会	9560	プログリット	256	907	254.3%
新田明くん	神戸投資勉強会	2114	フジ日本精糖	532	962	80.8%					rei	神戸投資勉強会	7191	イントラスト	828	792	-4.3%										
KM Kevin	神戸投資勉強会	2127	日本Ｍ＆Ａセンターホールデ	1670	777.7	-53.4%					雪	神戸投資勉強会	7692	アースインフィニティ	137.4166	75	-45.4%										
hide	湘南投資勉強会	2130	メンバーズ	1955	963	-50.7%					人間	湘南投資勉強会	4177	ｉ‐ｐｌｕｇ	1320	1158	-12.3%										
ぷに丸	湘南投資勉強会	2146	ＵＴグループ	2399	2444	1.9%					ドライヴ	湘南投資勉強会	3665	エニグモ	651	367	-43.6%										
ぺるる	湘南投資勉強会	2146	ＵＴグループ	2399	2444	1.9%					なーたん	湘南投資勉強会	5070	ドラフト	375	707	88.5%										
ココア	湘南投資勉強会	2146	ＵＴグループ	2399	2444	1.9%					トム	湘南投資勉強会	6337	テセック	2927	2422	-17.3%										
たぐけん	湘南投資勉強会	2146	ＵＴグループ	2399	2444	1.9%					ドライヴ	湘南投資勉強会	9731	白洋舎	1774	2345	32.2%										
ぷに丸	湘南投資勉強会	2150	ケアネット	1123	1097	-2.3%					ピノキオ	神戸投資勉強会	9503	関西電力	1219	1872	53.6%										
oct	湘南投資勉強会	2157	コシダカホールディングス	979	1088	11.1%					サントーシー	湘南投資勉強会	4377	ワンキャリア	3615	4070	12.6%										
ポンポコたぬき	神戸投資勉強会	2170	リンクアンドモチベーション	627	557	-11.2%					むね坊主	神戸投資勉強会	3880	大王製紙	987	1123	13.8%										
タカ@takanovalue	神戸投資勉強会	2196	エスクリ	309	294	-4.9%					ぺるる	湘南投資勉強会	2146	ＵＴグループ	2399	2444	1.9%										
きよし(神戸)	神戸投資勉強会	2196	エスクリ	309	294	-4.9%					ぺるる	湘南投資勉強会	2984	ヤマイチ・ユニハイムエステート	825	959	16.2%										
roku	湘南投資勉強会	2196	エスクリ	309	294	-4.9%					ぺるる	湘南投資勉強会	5017	富士石油	253	365	44.3%										
あさか	湘南投資勉強会	2196	エスクリ	309	294	-4.9%					ぺるる	湘南投資勉強会	8596	九州リースサービス	741	1015	37.0%										
AK	湘南投資勉強会	2334	イオレ	996	1100	10.4%					しのぴー横綱若三杉	神戸投資勉強会	3666	テクノスジャパン	466	636	36.5%										
ぱふぇっと	神戸投資勉強会	2334	イオレ	996	1100	10.4%					しのぴー横綱若三杉	神戸投資勉強会	7367	セルム	601	757	26.0%										
先高	湘南投資勉強会	2353	日本駐車場開発	284	192	-32.4%					株ピ孔明	神戸投資勉強会	4527	ロート製薬	2170	2843	31.0%										
Kent	湘南投資勉強会	2353	日本駐車場開発	284	192	-32.4%					株ピ孔明	神戸投資勉強会	6526	ソシオネクスト	1366	2560	87.4%										
あせろら	湘南投資勉強会	2372	アイロムグループ	2340	2009	-14.1%					やっしー	神戸投資勉強会	3137	ファンデリー	292	273	-6.5%										
しのぴー横綱若三杉	神戸投資勉強会	2372	アイロムグループ	2340	2009	-14.1%					やまち	神戸投資勉強会	3553	共和レザー	498	718	44.2%										
hokusansan1	神戸投資勉強会	2372	アイロムグループ	2340	2009	-14.1%					やっしー	神戸投資勉強会	7813	プラッツ	623	662	6.3%										
