Date,Open,High,Low,Close,Volume
2024-07-19,39965.91,40212.9,39824.58,40063.79,
2024-07-18,40521.71,40587.63,40104.22,40126.35,1175661700.0
2024-07-17,41416.18,41466.45,41054.72,41097.69,1098754400.0
2024-07-16,41366.79,41520.07,41220.65,41275.08,1007741600.0
2024-07-12,41668.86,41754.76,41188.29,41190.68,1303586500.0
2024-07-11,42343.72,42426.77,42102.46,42224.02,1230396800.0
2024-07-10,41444.33,41889.16,41430.38,41831.99,1344314200.0
2024-07-09,40953.41,41769.35,40942.44,41580.17,1181927400.0
2024-07-08,40863.14,41112.24,40780.7,40780.7,1130177600.0
2024-07-05,41009.36,41100.13,40746.89,40912.37,1142341500.0
2024-07-04,40747.59,40971.23,40604.15,40913.65,1179936300.0
2024-07-03,40225.83,40694.21,40172.85,40580.76,1256457500.0
2024-07-02,39543.61,40113.48,39457.62,40074.69,1350506700.0
2024-07-01,39839.82,39942.69,39537.1,39631.06,1187806900.0
2024-06-28,39593.01,39783.7,39485.73,39583.08,1243441800.0
2024-06-27,39434.47,39439.24,39193.51,39341.54,1150281900.0
2024-06-26,39364.73,39788.63,39233.56,39667.07,1088836200.0
2024-06-25,38833.9,39215.07,38758.07,39173.15,1082542100.0
2024-06-24,38497.42,38905.47,38416.07,38804.65,934567500.0
2024-06-21,38608.66,38795.68,38532.13,38596.47,1408422000.0
2024-06-20,38410.32,38637.62,38263.08,38633.02,880451900.0
2024-06-19,38653.91,38797.97,38453.41,38570.76,936081600.0
2024-06-18,38433.48,38519.02,38332.89,38482.11,970822900.0
2024-06-17,38440.98,38442.7,37950.2,38102.44,1074894800.0
2024-06-14,38587.57,39025.7,38554.75,38814.56,1571162900.0
2024-06-13,39182.06,39252.44,38689.79,38720.47,1159251000.0
2024-06-12,38865.15,38945.99,38809.36,38876.71,1081606600.0
2024-06-11,39175.59,39336.66,39074.88,39134.79,933293200.0
2024-06-10,38689.78,39081.54,38689.78,39038.16,892254800.0
2024-06-07,38597.55,38747.27,38560.85,38683.93,962356200.0
2024-06-06,38841.66,39011.93,38693.5,38703.51,1189157000.0
2024-06-05,38654.09,38656.41,38343.98,38490.17,1193704000.0
2024-06-04,38702.54,38895.06,38591.79,38837.46,1178686600.0
2024-06-03,38734.95,39032.5,38734.95,38923.03,1158550100.0
2024-05-31,38173.22,38526.93,38087.61,38487.9,2110106500.0
2024-05-30,38112.77,38138.03,37617.0,38054.13,1173391500.0
2024-05-29,38880.5,39141.99,38524.24,38556.87,1239158100.0
2024-05-28,38879.15,38981.97,38756.13,38855.37,1012076300.0
2024-05-27,38766.21,38900.02,38667.93,38900.02,942391400.0
2024-05-24,38506.03,38740.82,38367.7,38646.11,963057200.0
2024-05-23,38803.13,39129.47,38617.43,39103.22,1077552000.0
2024-05-22,38823.91,38854.99,38592.94,38617.1,1055204000.0
2024-05-21,39232.16,39346.15,38942.28,38946.93,1067198900.0
2024-05-20,38761.71,39437.16,38703.7,39069.68,1274428900.0
2024-05-17,38561.04,38842.49,38539.56,38787.38,1333356900.0
2024-05-16,38645.96,38949.38,38513.33,38920.26,1579437500.0
2024-05-15,38533.09,38816.6,38335.61,38385.73,1462732900.0
2024-05-14,38287.99,38477.68,38084.71,38356.06,1432629000.0
2024-05-13,38211.61,38273.4,37969.58,38179.46,1287349900.0
2024-05-10,38361.79,38741.88,38126.91,38229.11,1673429800.0
2024-05-09,38242.92,38429.81,38072.24,38073.98,1185501100.0
