,pokemon_name,params,ranking,param_name,rate
0,ハバタクカミ,覚えているわざ,1,ムーンフォース,92.1
1,ハバタクカミ,覚えているわざ,2,シャドーボール,85.8
2,ハバタクカミ,覚えているわざ,3,めいそう,37.0
3,ハバタクカミ,覚えているわざ,4,マジカルフレイム,32.7
4,ハバタクカミ,覚えているわざ,5,サイコショック,27.2
5,ハバタクカミ,覚えているわざ,6,いたみわけ,20.2
6,ハバタクカミ,覚えているわざ,7,あまえる,16.6
7,ハバタクカミ,覚えているわざ,8,テラバースト,16.2
8,ハバタクカミ,覚えているわざ,9,みがわり,15.9
9,ハバタクカミ,覚えているわざ,10,パワージェム,8.9
10,ハバタクカミ,とくせい,1,こだいかっせい,100.0
11,ハバタクカミ,せいかく,1,おくびょう,79.9
12,ハバタクカミ,せいかく,2,ひかえめ,15.3
13,ハバタクカミ,せいかく,3,ずぶとい,3.6
14,ハバタクカミ,せいかく,4,せっかち,0.2
15,ハバタクカミ,せいかく,5,おだやか,0.1
16,ハバタクカミ,せいかく,6,むじゃき,0.1
17,ハバタクカミ,せいかく,7,おっとり,0.1
18,ハバタクカミ,せいかく,8,れいせい,0.1
19,ハバタクカミ,せいかく,9,てれや,0.1
20,ハバタクカミ,せいかく,10,ようき,0.1
21,ハバタクカミ,もちもの,1,ブーストエナジー,59.4
22,ハバタクカミ,もちもの,2,こだわりメガネ,23.6
23,ハバタクカミ,もちもの,3,きあいのタスキ,7.2
24,ハバタクカミ,もちもの,4,こだわりスカーフ,4.0
25,ハバタクカミ,もちもの,5,とつげきチョッキ,3.2
26,ハバタクカミ,もちもの,6,いのちのたま,0.8
27,ハバタクカミ,もちもの,7,たべのこし,0.4
28,ハバタクカミ,もちもの,8,ゴツゴツメット,0.2
29,ハバタクカミ,もちもの,9,ふうせん,0.2
30,ハバタクカミ,もちもの,10,せいれいプレート,0.1
31,ハバタクカミ,テラスタイプ,1,フェアリー,43.4
32,ハバタクカミ,テラスタイプ,2,みず,29.6
33,ハバタクカミ,テラスタイプ,3,じめん,9.2
34,ハバタクカミ,テラスタイプ,4,ノーマル,5.1
35,ハバタクカミ,テラスタイプ,5,ゴースト,5.0
36,ハバタクカミ,テラスタイプ,6,ほのお,5.0
37,ハバタクカミ,テラスタイプ,7,くさ,0.8
38,ハバタクカミ,テラスタイプ,8,はがね,0.8
39,ハバタクカミ,テラスタイプ,9,かくとう,0.4
40,ハバタクカミ,テラスタイプ,10,でんき,0.4
41,ハバタクカミ,同じチーム,1,カイリュー,-1
42,ハバタクカミ,同じチーム,2,パオジアン,-1
43,ハバタクカミ,同じチーム,3,ウーラオス,-1
44,ハバタクカミ,同じチーム,4,ヒードラン,-1
45,ハバタクカミ,同じチーム,5,サーフゴー,-1
46,ハバタクカミ,同じチーム,6,ディンルー,-1
47,ハバタクカミ,同じチーム,7,ランドロス,-1
48,ハバタクカミ,同じチーム,8,ヌメルゴン,-1
49,ハバタクカミ,同じチーム,9,ガチグマ,-1
50,ハバタクカミ,同じチーム,10,サンダー,-1
51,ハバタクカミ,倒したポケモン,1,ハバタクカミ,-1
52,ハバタクカミ,倒したポケモン,2,カイリュー,-1
53,ハバタクカミ,倒したポケモン,3,テツノツツミ,-1
54,ハバタクカミ,倒したポケモン,4,ウーラオス,-1
55,ハバタクカミ,倒したポケモン,5,パオジアン,-1
56,ハバタクカミ,倒したポケモン,6,ヒードラン,-1
57,ハバタクカミ,倒したポケモン,7,サーフゴー,-1
58,ハバタクカミ,倒したポケモン,8,ディンルー,-1
59,ハバタクカミ,倒したポケモン,9,ランドロス,-1
60,ハバタクカミ,倒したポケモン,10,ガチグマ,-1
61,ハバタクカミ,倒したわざ,1,ムーンフォース,64.6
62,ハバタクカミ,倒したわざ,2,シャドーボール,22.9
63,ハバタクカミ,倒したわざ,3,ドレインキッス,3.1
64,ハバタクカミ,倒したわざ,4,テラバースト,2.5
65,ハバタクカミ,倒したわざ,5,マジカルフレイム,2.2
66,ハバタクカミ,倒したわざ,6,サイコショック,1.5
67,ハバタクカミ,倒したわざ,7,１０まんボルト,0.8
68,ハバタクカミ,倒したわざ,8,パワージェム,0.7
69,ハバタクカミ,倒したわざ,9,エナジーボール,0.6
70,ハバタクカミ,倒したわざ,10,たたりめ,0.6
71,ハバタクカミ,倒されたポケモン,1,カイリュー,-1
72,ハバタクカミ,倒されたポケモン,2,ハバタクカミ,-1
73,ハバタクカミ,倒されたポケモン,3,パオジアン,-1
74,ハバタクカミ,倒されたポケモン,4,ウーラオス,-1
75,ハバタクカミ,倒されたポケモン,5,ガチグマ,-1
76,ハバタクカミ,倒されたポケモン,6,ヌメルゴン,-1
77,ハバタクカミ,倒されたポケモン,7,ヒードラン,-1
78,ハバタクカミ,倒されたポケモン,8,ディンルー,-1
79,ハバタクカミ,倒されたポケモン,9,ランドロス,-1
80,ハバタクカミ,倒されたポケモン,10,サーフゴー,-1
81,ハバタクカミ,倒されたわざ,1,じしん,13.3
82,ハバタクカミ,倒されたわざ,2,シャドーボール,5.3
83,ハバタクカミ,倒されたわざ,3,テラバースト,5.3
84,ハバタクカミ,倒されたわざ,4,ムーンフォース,4.6
85,ハバタクカミ,倒されたわざ,5,ヘビーボンバー,4.5
86,ハバタクカミ,倒されたわざ,6,ふいうち,4.2
87,ハバタクカミ,倒されたわざ,7,すいりゅうれんだ,4.1
88,ハバタクカミ,倒されたわざ,8,アクアジェット,3.5
89,ハバタクカミ,倒されたわざ,9,ラスターカノン,3.5
90,ハバタクカミ,倒されたわざ,10,アイアンヘッド,3.2
91,カイリュー,覚えているわざ,1,しんそく,85.9
92,カイリュー,覚えているわざ,2,じしん,83.8
93,カイリュー,覚えているわざ,3,はねやすめ,64.7
94,カイリュー,覚えているわざ,4,りゅうのまい,53.9
95,カイリュー,覚えているわざ,5,アンコール,22.8
96,カイリュー,覚えているわざ,6,げきりん,17.0
97,カイリュー,覚えているわざ,7,テラバースト,16.8
98,カイリュー,覚えているわざ,8,アイアンヘッド,7.7
99,カイリュー,覚えているわざ,9,ドラゴンテール,7.6
100,カイリュー,覚えているわざ,10,ほのおのパンチ,4.9
101,カイリュー,とくせい,1,マルチスケイル,99.5
102,カイリュー,とくせい,2,せいしんりょく,0.5
103,カイリュー,せいかく,1,いじっぱり,76.1
104,カイリュー,せいかく,2,わんぱく,8.4
105,カイリュー,せいかく,3,ようき,6.5
106,カイリュー,せいかく,4,ずぶとい,3.3
107,カイリュー,せいかく,5,ひかえめ,0.8
108,カイリュー,せいかく,6,うっかりや,0.7
109,カイリュー,せいかく,7,れいせい,0.6
110,カイリュー,せいかく,8,しんちょう,0.6
111,カイリュー,せいかく,9,ゆうかん,0.5
112,カイリュー,せいかく,10,むじゃき,0.5
113,カイリュー,もちもの,1,あつぞこブーツ,20.7
114,カイリュー,もちもの,2,たべのこし,20.5
115,カイリュー,もちもの,3,ゴツゴツメット,20.2
116,カイリュー,もちもの,4,こだわりハチマキ,13.7
