,pokemon_name,params,ranking,param_name,rate
0,ウーラオス,覚えているわざ,1,すいりゅうれんだ,100.0
1,ウーラオス,覚えているわざ,2,インファイト,88.0
2,ウーラオス,覚えているわざ,3,アクアジェット,64.5
3,ウーラオス,覚えているわざ,4,とんぼがえり,38.4
4,ウーラオス,覚えているわざ,5,れいとうパンチ,26.6
5,ウーラオス,覚えているわざ,6,つるぎのまい,19.9
6,ウーラオス,覚えているわざ,7,アイススピナー,18.4
7,ウーラオス,覚えているわざ,8,かみなりパンチ,9.6
8,ウーラオス,覚えているわざ,9,ドレインパンチ,8.8
9,ウーラオス,覚えているわざ,10,アイアンヘッド,6.0
10,ウーラオス,とくせい,1,ふかしのこぶし,100.0
11,ウーラオス,せいかく,1,ようき,54.4
12,ウーラオス,せいかく,2,いじっぱり,43.7
13,ウーラオス,せいかく,3,わんぱく,0.7
14,ウーラオス,せいかく,4,しんちょう,0.2
15,ウーラオス,せいかく,5,せっかち,0.1
16,ウーラオス,せいかく,6,むじゃき,0.1
17,ウーラオス,せいかく,7,やんちゃ,0.1
18,ウーラオス,せいかく,8,さみしがり,0.1
19,ウーラオス,せいかく,9,きまぐれ,0.1
20,ウーラオス,せいかく,10,まじめ,0.1
21,ウーラオス,もちもの,1,パンチグローブ,33.4
22,ウーラオス,もちもの,2,こだわりスカーフ,29.5
23,ウーラオス,もちもの,3,きあいのタスキ,16.0
24,ウーラオス,もちもの,4,こだわりハチマキ,14.0
25,ウーラオス,もちもの,5,ぼうごパット,2.4
26,ウーラオス,もちもの,6,いのちのたま,0.9
27,ウーラオス,もちもの,7,しんぴのしずく,0.8
28,ウーラオス,もちもの,8,とつげきチョッキ,0.8
29,ウーラオス,もちもの,9,ゴツゴツメット,0.6
30,ウーラオス,もちもの,10,たべのこし,0.5
31,ウーラオス,テラスタイプ,1,みず,67.6
32,ウーラオス,テラスタイプ,2,でんき,11.0
33,ウーラオス,テラスタイプ,3,かくとう,9.3
34,ウーラオス,テラスタイプ,4,はがね,6.1
35,ウーラオス,テラスタイプ,5,どく,1.2
36,ウーラオス,テラスタイプ,6,くさ,1.0
37,ウーラオス,テラスタイプ,7,こおり,0.9
38,ウーラオス,テラスタイプ,8,ほのお,0.7
39,ウーラオス,テラスタイプ,9,じめん,0.6
40,ウーラオス,テラスタイプ,10,ゴースト,0.6
41,ウーラオス,同じチーム,1,ヒードラン,-1
42,ウーラオス,同じチーム,2,ハバタクカミ,-1
43,ウーラオス,同じチーム,3,ランドロス,-1
44,ウーラオス,同じチーム,4,サンダー,-1
45,ウーラオス,同じチーム,5,パオジアン,-1
46,ウーラオス,同じチーム,6,カイリュー,-1
47,ウーラオス,同じチーム,7,サーフゴー,-1
48,ウーラオス,同じチーム,8,クレセリア,-1
49,ウーラオス,同じチーム,9,ボルトロス,-1
50,ウーラオス,同じチーム,10,ディンルー,-1
51,ウーラオス,倒したポケモン,1,パオジアン,-1
52,ウーラオス,倒したポケモン,2,ウーラオス,-1
53,ウーラオス,倒したポケモン,3,ランドロス,-1
54,ウーラオス,倒したポケモン,4,ハバタクカミ,-1
55,ウーラオス,倒したポケモン,5,ヒードラン,-1
56,ウーラオス,倒したポケモン,6,サンダー,-1
57,ウーラオス,倒したポケモン,7,カイリュー,-1
58,ウーラオス,倒したポケモン,8,ガチグマ,-1
59,ウーラオス,倒したポケモン,9,クレセリア,-1
60,ウーラオス,倒したポケモン,10,ディンルー,-1
61,ウーラオス,倒したわざ,1,すいりゅうれんだ,56.8
62,ウーラオス,倒したわざ,2,インファイト,18.9
63,ウーラオス,倒したわざ,3,アクアジェット,11.6
64,ウーラオス,倒したわざ,4,ドレインパンチ,3.1
65,ウーラオス,倒したわざ,5,れいとうパンチ,2.6
66,ウーラオス,倒したわざ,6,とんぼがえり,2.0
67,ウーラオス,倒したわざ,7,アイススピナー,1.7
68,ウーラオス,倒したわざ,8,かみなりパンチ,1.5
69,ウーラオス,倒したわざ,9,くさわけ,0.7
70,ウーラオス,倒したわざ,10,テラバースト,0.3
71,ウーラオス,倒されたポケモン,1,ウーラオス,-1
72,ウーラオス,倒されたポケモン,2,パオジアン,-1
73,ウーラオス,倒されたポケモン,3,ハバタクカミ,-1
74,ウーラオス,倒されたポケモン,4,テツノツツミ,-1
75,ウーラオス,倒されたポケモン,5,サンダー,-1
76,ウーラオス,倒されたポケモン,6,カイリュー,-1
77,ウーラオス,倒されたポケモン,7,ランドロス,-1
78,ウーラオス,倒されたポケモン,8,ヒードラン,-1
79,ウーラオス,倒されたポケモン,9,ボルトロス,-1
80,ウーラオス,倒されたポケモン,10,ガチグマ,-1
81,ウーラオス,倒されたわざ,1,テラバースト,12.3
82,ウーラオス,倒されたわざ,2,ムーンフォース,7.5
83,ウーラオス,倒されたわざ,3,インファイト,5.3
84,ウーラオス,倒されたわざ,4,１０まんボルト,5.2
85,ウーラオス,倒されたわざ,5,じしん,4.9
86,ウーラオス,倒されたわざ,6,フリーズドライ,4.3
87,ウーラオス,倒されたわざ,7,ボルトチェンジ,3.3
88,ウーラオス,倒されたわざ,8,しんそく,2.9
89,ウーラオス,倒されたわざ,9,すいりゅうれんだ,2.7
90,ウーラオス,倒されたわざ,10,シャドーボール,2.6
91,ハバタクカミ,覚えているわざ,1,ムーンフォース,92.5
92,ハバタクカミ,覚えているわざ,2,シャドーボール,83.5
93,ハバタクカミ,覚えているわざ,3,マジカルフレイム,37.4
94,ハバタクカミ,覚えているわざ,4,めいそう,30.4
95,ハバタクカミ,覚えているわざ,5,サイコショック,28.3
96,ハバタクカミ,覚えているわざ,6,みがわり,18.5
97,ハバタクカミ,覚えているわざ,7,テラバースト,17.9
98,ハバタクカミ,覚えているわざ,8,いたみわけ,17.2
99,ハバタクカミ,覚えているわざ,9,あまえる,16.5
100,ハバタクカミ,覚えているわざ,10,パワージェム,12.8
101,ハバタクカミ,とくせい,1,こだいかっせい,100.0
102,ハバタクカミ,せいかく,1,おくびょう,78.1
103,ハバタクカミ,せいかく,2,ひかえめ,17.7
104,ハバタクカミ,せいかく,3,ずぶとい,3.3
105,ハバタクカミ,せいかく,4,おだやか,0.2
106,ハバタクカミ,せいかく,5,せっかち,0.1
107,ハバタクカミ,せいかく,6,おっとり,0.1
108,ハバタクカミ,せいかく,7,てれや,0.1
109,ハバタクカミ,せいかく,8,むじゃき,0.1
110,ハバタクカミ,せいかく,9,さみしがり,0.1
111,ハバタクカミ,せいかく,10,がんばりや,0.1
112,ハバタクカミ,もちもの,1,ブーストエナジー,57.7
113,ハバタクカミ,もちもの,2,こだわりメガネ,21.6
114,ハバタクカミ,もちもの,3,きあいのタスキ,7.2
115,ハバタクカミ,もちもの,4,とつげきチョッキ,5.9
116,ハバタクカミ,もちもの,5,こだわりスカーフ,4.7
117,ハバタクカミ,もちもの,6,いのちのたま,1.0
118,ハバタクカミ,もちもの,7,たべのこし,0.4
119,ハバタクカミ,もちもの,8,せいれいプレート,0.3
120,ハバタクカミ,もちもの,9,オボンのみ,0.3
121,ハバタクカミ,もちもの,10,おんみつマント,0.2
122,ハバタクカミ,テラスタイプ,1,フェアリー,41.1
123,ハバタクカミ,テラスタイプ,2,みず,21.2
124,ハバタクカミ,テラスタイプ,3,じめん,19.5
125,ハバタクカミ,テラスタイプ,4,ほのお,5.9
126,ハバタクカミ,テラスタイプ,5,ノーマル,5.3
127,ハバタクカミ,テラスタイプ,6,ゴースト,4.4
128,ハバタクカミ,テラスタイプ,7,かくとう,0.7
129,ハバタクカミ,テラスタイプ,8,くさ,0.7
130,ハバタクカミ,テラスタイプ,9,はがね,0.4
131,ハバタクカミ,テラスタイプ,10,でんき,0.3
132,ハバタクカミ,同じチーム,1,ウーラオス,-1
133,ハバタクカミ,同じチーム,2,ヒードラン,-1
134,ハバタクカミ,同じチーム,3,パオジアン,-1
135,ハバタクカミ,同じチーム,4,ランドロス,-1
136,ハバタクカミ,同じチーム,5,カイリュー,-1
137,ハバタクカミ,同じチーム,6,サンダー,-1
138,ハバタクカミ,同じチーム,7,ディンルー,-1
139,ハバタクカミ,同じチーム,8,サーフゴー,-1
140,ハバタクカミ,同じチーム,9,クレセリア,-1
141,ハバタクカミ,同じチーム,10,ボルトロス,-1
142,ハバタクカミ,倒したポケモン,1,ウーラオス,-1
143,ハバタクカミ,倒したポケモン,2,ヒードラン,-1
144,ハバタクカミ,倒したポケモン,3,ハバタクカミ,-1
145,ハバタクカミ,倒したポケモン,4,テツノツツミ,-1
146,ハバタクカミ,倒したポケモン,5,パオジアン,-1
147,ハバタクカミ,倒したポケモン,6,サンダー,-1
148,ハバタクカミ,倒したポケモン,7,ランドロス,-1
149,ハバタクカミ,倒したポケモン,8,カイリュー,-1
150,ハバタクカミ,倒したポケモン,9,ボルトロス,-1
151,ハバタクカミ,倒したポケモン,10,ヌメルゴン,-1
152,ハバタクカミ,倒したわざ,1,ムーンフォース,65.1
153,ハバタクカミ,倒したわざ,2,シャドーボール,21.5
154,ハバタクカミ,倒したわざ,3,テラバースト,3.7
155,ハバタクカミ,倒したわざ,4,ドレインキッス,3.0
156,ハバタクカミ,倒したわざ,5,マジカルフレイム,2.0
157,ハバタクカミ,倒したわざ,6,サイコショック,1.4
158,ハバタクカミ,倒したわざ,7,パワージェム,1.0
159,ハバタクカミ,倒したわざ,8,１０まんボルト,0.7
160,ハバタクカミ,倒したわざ,9,エナジーボール,0.6
161,ハバタクカミ,倒したわざ,10,マジカルシャイン,0.4
162,ハバタクカミ,倒されたポケモン,1,ウーラオス,-1
163,ハバタクカミ,倒されたポケモン,2,パオジアン,-1
164,ハバタクカミ,倒されたポケモン,3,ハバタクカミ,-1
165,ハバタクカミ,倒されたポケモン,4,ヒードラン,-1
166,ハバタクカミ,倒されたポケモン,5,ヌメルゴン,-1
167,ハバタクカミ,倒されたポケモン,6,カイリュー,-1
168,ハバタクカミ,倒されたポケモン,7,ランドロス,-1
169,ハバタクカミ,倒されたポケモン,8,ガチグマ,-1
170,ハバタクカミ,倒されたポケモン,9,テツノツツミ,-1
171,ハバタクカミ,倒されたポケモン,10,ディンルー,-1
172,ハバタクカミ,倒されたわざ,1,じしん,11.8
173,ハバタクカミ,倒されたわざ,2,すいりゅうれんだ,6.1
174,ハバタクカミ,倒されたわざ,3,テラバースト,5.3
175,ハバタクカミ,倒されたわざ,4,ラスターカノン,5.2
176,ハバタクカミ,倒されたわざ,5,ヘビーボンバー,4.4
177,ハバタクカミ,倒されたわざ,6,ムーンフォース,4.3
178,ハバタクカミ,倒されたわざ,7,アクアジェット,4.2
