,pokemon_name,params,ranking,param_name,rate
0,ハバタクカミ,覚えているわざ,1,ムーンフォース,94.9
1,ハバタクカミ,覚えているわざ,2,シャドーボール,79.6
2,ハバタクカミ,覚えているわざ,3,マジカルフレイム,27.7
3,ハバタクカミ,覚えているわざ,4,いたみわけ,26.1
4,ハバタクカミ,覚えているわざ,5,パワージェム,22.2
5,ハバタクカミ,覚えているわざ,6,あまえる,20.6
6,ハバタクカミ,覚えているわざ,7,めいそう,20.0
7,ハバタクカミ,覚えているわざ,8,でんじは,19.5
8,ハバタクカミ,覚えているわざ,9,みがわり,14.3
9,ハバタクカミ,覚えているわざ,10,ちょうはつ,13.7
10,ハバタクカミ,とくせい,1,こだいかっせい,100.0
11,ハバタクカミ,せいかく,1,おくびょう,77.2
12,ハバタクカミ,せいかく,2,ひかえめ,12.1
13,ハバタクカミ,せいかく,3,ずぶとい,9.4
14,ハバタクカミ,せいかく,4,おだやか,0.2
15,ハバタクカミ,せいかく,5,せっかち,0.2
16,ハバタクカミ,せいかく,6,おっとり,0.1
17,ハバタクカミ,せいかく,7,むじゃき,0.1
18,ハバタクカミ,せいかく,8,わんぱく,0.1
19,ハバタクカミ,せいかく,9,まじめ,0.1
20,ハバタクカミ,せいかく,10,がんばりや,0.1
21,ハバタクカミ,もちもの,1,ブーストエナジー,58.1
22,ハバタクカミ,もちもの,2,こだわりメガネ,28.7
23,ハバタクカミ,もちもの,3,きあいのタスキ,7.2
24,ハバタクカミ,もちもの,4,いのちのたま,1.2
25,ハバタクカミ,もちもの,5,とつげきチョッキ,1.1
26,ハバタクカミ,もちもの,6,こだわりスカーフ,1.1
27,ハバタクカミ,もちもの,7,ジャポのみ,0.6
28,ハバタクカミ,もちもの,8,ラムのみ,0.4
29,ハバタクカミ,もちもの,9,たべのこし,0.4
30,ハバタクカミ,もちもの,10,オボンのみ,0.2
31,ハバタクカミ,テラスタイプ,1,フェアリー,29.9
32,ハバタクカミ,テラスタイプ,2,ステラ,23.6
33,ハバタクカミ,テラスタイプ,3,みず,23.4
34,ハバタクカミ,テラスタイプ,4,ほのお,8.0
35,ハバタクカミ,テラスタイプ,5,ゴースト,5.0
36,ハバタクカミ,テラスタイプ,6,でんき,3.8
37,ハバタクカミ,テラスタイプ,7,じめん,2.2
38,ハバタクカミ,テラスタイプ,8,ノーマル,1.7
39,ハバタクカミ,テラスタイプ,9,はがね,1.2
40,ハバタクカミ,テラスタイプ,10,くさ,0.4
41,ハバタクカミ,同じチーム,1,カイリュー,-1
42,ハバタクカミ,同じチーム,2,オーガポン,-1
43,ハバタクカミ,同じチーム,3,ウーラオス,-1
44,ハバタクカミ,同じチーム,4,サーフゴー,-1
45,ハバタクカミ,同じチーム,5,パオジアン,-1
46,ハバタクカミ,同じチーム,6,ガチグマ,-1
47,ハバタクカミ,同じチーム,7,ランドロス,-1
48,ハバタクカミ,同じチーム,8,ポリゴン２,-1
49,ハバタクカミ,同じチーム,9,ハッサム,-1
50,ハバタクカミ,同じチーム,10,ウーラオス,-1
51,ハバタクカミ,倒したポケモン,1,ハバタクカミ,-1
52,ハバタクカミ,倒したポケモン,2,カイリュー,-1
53,ハバタクカミ,倒したポケモン,3,オーガポン,-1
54,ハバタクカミ,倒したポケモン,4,ウーラオス,-1
55,ハバタクカミ,倒したポケモン,5,ブリジュラス,-1
56,ハバタクカミ,倒したポケモン,6,ガチグマ,-1
57,ハバタクカミ,倒したポケモン,7,サーフゴー,-1
58,ハバタクカミ,倒したポケモン,8,アシレーヌ,-1
59,ハバタクカミ,倒したポケモン,9,パオジアン,-1
60,ハバタクカミ,倒したポケモン,10,ラティオス,-1
61,ハバタクカミ,倒したわざ,1,ムーンフォース,58.9
62,ハバタクカミ,倒したわざ,2,シャドーボール,23.7
63,ハバタクカミ,倒したわざ,3,たたりめ,4.5
64,ハバタクカミ,倒したわざ,4,マジカルフレイム,3.5
65,ハバタクカミ,倒したわざ,5,パワージェム,2.9
66,ハバタクカミ,倒したわざ,6,テラバースト,1.9
67,ハバタクカミ,倒したわざ,7,ドレインキッス,1.5
68,ハバタクカミ,倒したわざ,8,１０まんボルト,1.1
69,ハバタクカミ,倒したわざ,9,エナジーボール,1.0
70,ハバタクカミ,倒したわざ,10,サイコショック,0.5
71,ハバタクカミ,倒されたポケモン,1,カイリュー,-1
72,ハバタクカミ,倒されたポケモン,2,オーガポン,-1
73,ハバタクカミ,倒されたポケモン,3,ハバタクカミ,-1
74,ハバタクカミ,倒されたポケモン,4,ウーラオス,-1
75,ハバタクカミ,倒されたポケモン,5,パオジアン,-1
76,ハバタクカミ,倒されたポケモン,6,ガチグマ,-1
77,ハバタクカミ,倒されたポケモン,7,ハッサム,-1
78,ハバタクカミ,倒されたポケモン,8,ウガツホムラ,-1
