	No.	お名前(HN可)	所属陣営	TYPE	銘柄コード	2倍になりそうな銘柄	理由	件数
0	286	X	神戸投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ 2025年は生成AI活用がテーマとして本格化、最先端のGPUでなくてもパフォーマンスを高められることが求められる	17
1	287	くま	特になし	東証PR	3687	フィックスターズ	フィックスターズ　アメリカの量子コンピュータ銘柄ブームの恩恵に期待	17
2	288	yume	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ テーマとして人気、業績もいい。	17
3	289	kent	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ 自動運転•AI•量子技術､AI データセンター稼働	17
4	290	オニール好きの投資家	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ　米国のブームが日本市場にもやってくる	17
5	291	M	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ　量子コンピュータ	17
6	292	エアー	直近はkabuberryやパンローリングのIRセミナー等に参加しております。	東証PR	3687	フィックスターズ	フィックスターズ　量子コンピューターのテーマ来るなら人気化しそう。	17
7	293	Bolsa	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ　量子コンピュータが電力を使わない半導体で注目	17
8	294	りんたん	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ 量子コンピュータの再度の盛り上がりを感じるのでPER上昇に期待	17
9	295	pekepeke	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ　量子コンピュータ関連として物色される可能性あり。	17
10	296	お多福。	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ　量子関連	17
11	297	つま	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ　量子関連株で業績好調。セクターでの底上げがあれば。	17
12	298	秋吉義明	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ 量子関連銘柄の思惑上げ	17
13	299	helen	特になし	東証PR	3687	フィックスターズ	量子コンピュータ　自動運転など上昇余地あり	17
14	300	キユーピー	湘南投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ 量子コンピュータ関連。AI、ドローン、自動運転などトレンドになる分野が豊富で期待できそう。	17
15	301	猫三昧	神戸投資勉強会	東証PR	3687	フィックスターズ	フィックススターズ 量子コンピュター関連	17
16	302	piyopiyodawan	神戸投資勉強会	東証PR	3687	フィックスターズ	フィックスターズ。量子コンピュータと言えばで。	17
17	1839	boxman	湘南投資勉強会	韓国	009540	韓国造船海洋	HD Korea Shipbuilding & Offshr Eng C Ltd 株主還元と受注残と決算で	17
18	1840	ユーキ	湘南投資勉強会	韓国	009540	韓国造船海洋	HD韓国造船海洋　船価上昇	17
19	1841	ヒロユキ	初参加	韓国	009540	韓国造船海洋	HD韓国造船海洋 造船スーパーサイクルは始まったばかり。還元も期待。	17
20	1842	K	神戸投資勉強会	韓国	009540	韓国造船海洋	HD韓国造船海洋 造船の王が2倍になると言っていたから。	17
21	1843	愛媛のユウ	神戸投資勉強会	韓国	009540	韓国造船海洋	HD韓国造船海洋 造船バブル銘柄その1。高船価・高付加価値のLNG船/コンテナ船受注に裏付けされた，好業績に期待しています。	17
22	1844	サントーシー	湘南投資勉強会	韓国	009540	韓国造船海洋	HD韓国造船海洋 大方の期待。みんなが幸せになる	17
23	1845	でこぽん	神戸投資勉強会	韓国	009540	韓国造船海洋	韓国造船 造船バブルで利益、配当大幅増へ	17
24	1846	次男坊	神戸投資勉強会	韓国	009540	韓国造船海洋	韓国造船 造船バブルはまだまだこれから。	17
25	1847	やっしー	神戸投資勉強会	韓国	009540	韓国造船海洋	韓国造船海洋	17
26	1848	コネコ	湘南投資勉強会	韓国	009540	韓国造船海洋	韓国造船海洋	17
27	1849	こいけ	湘南投資勉強会	韓国	009540	韓国造船海洋	韓国造船海洋 造船バブル	17
28	1850	DAIBOUCHOU	湘南投資勉強会	韓国	009540	韓国造船海洋	HD韓国造船海洋（韓国株）　高値受注した船の比率が高まり、利益率が上がる。	17
29	1851	kenmo@湘南投資勉強会	湘南投資勉強会	韓国	009540	韓国造船海洋	Korea 韓国造船海洋 有力筋の情報によると来期以降すごいらしいので。	17
30	1852	きよし	湘南投資勉強会	韓国	009540	韓国造船海洋	KS Korea SE　韓国造船海洋。今年も船の年になりそう。	17
31	1853	ラッキー	神戸投資勉強会	韓国	009540	韓国造船海洋	韓国造船海洋 大物投資家を参考にしました。親族が造船の溶接工なので知識あり。	17
32	1854	フックン	神戸投資勉強会	韓国	009540	韓国造船海洋	HD韓国造船　造船銘柄活況	17
33	1855	たぐけん	湘南投資勉強会	韓国	009540	韓国造船海洋	KS 韓国造船海洋　	17
34	1048	ぱお	湘南投資勉強会	東証PR	7003	三井E＆S	三井E&S  増収増益基調が続く見込みで更に評価されるはず	14
35	1049	グラッチ	湘南投資勉強会	東証PR	7003	三井E＆S	三井E&S  造船と港湾	14
36	1050	まこ	湘南投資勉強会	東証PR	7003	三井E＆S	三井e&s  予定通り順調にいけば増収増益になるも思います	14
37	1051	ダンベルドア	湘南投資勉強会	東証PR	7003	三井E＆S	三井E&S クレーン事業の実績が反映されたら	14
38	1052	ユーキ	湘南投資勉強会	東証PR	7003	三井E＆S	三井E&S　クレーン続報で人気化	14
39	1053	ぼーい。	神戸投資勉強会	東証PR	7003	三井E＆S	三井E＆S　株価倍になったとしても指標的に全然安いし、造船バブルは今年以降が本番だと思うから。	14
40	1054	大陸浪人	湘南投資勉強会	東証PR	7003	三井E＆S	三井Ｅ＆Ｓ 業績底堅く、指標面で割安	14
41	1055	がっしー会長	神戸投資勉強会	東証PR	7003	三井E＆S	三井E&S 港湾クレーンについてアメリカ関連の受注動向が具体化し、期待感が増す為	14
42	1056	きよし	湘南投資勉強会	東証PR	7003	三井E＆S	三井E&S　今年も船の年になりそう。	14
43	1057	kazu4565	湘南投資勉強会	東証PR	7003	三井E＆S	三井E＆S　地政学的に日本の造船エンジン、クレーンは買われる	14
44	1058	与野	湘南投資勉強会	東証PR	7003	三井E＆S	三井E&S　舶用エンジン・港湾クレーンともに好調	14
45	1059	sei	湘南投資勉強会	東証PR	7003	三井E＆S	三井Ｅ＆Ｓ。売り方さんもうええでしょう。。	14
46	1060	DAIBOUCHOU	湘南投資勉強会	東証PR	7003	三井E＆S	"	三井E&S　船舶エンジン好調に加えて、地政学リスク回避のクレーン受注が進む。"	14
47	1061	フックン	神戸投資勉強会	東証PR	7003	三井E＆S	三井E&S　造船銘柄活況	14
48	347	次男坊	神戸投資勉強会	東証PR	3864	三菱製紙	三菱製紙 10月出荷分より製品値上げで収益改善期待。2Q決算がダメだったにも関わらず、通期予想据え置きなので、後半の巻き返しを期待。	13
49	348	アディ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙　24年12月23日に中計骨子なるものがHPニュースリリースのみでしれっと開示。年末時価総額で255億円だが、28年3月期には営利200億円と明示している。詳細については25年3月期の本決算で開示。PBRも0.28倍であり、D/Eレシオも投資有価証券の上昇（主に退職給付資産として保有していた三菱商事株の上昇が大きく貢献）で急改善しており、中計では配当性向やPBR1倍に向けた話も出てくると期待する。ここから2倍になってもPBR0.6弱で来期EPS次第ではあるもののおそらくPERも6倍程度ではないか？と予想している。ペーパーレスのシュリンク影響は下げ止まってきており、業界全体での値上げ攻勢がここから効いてくる	13
50	349	なのなの	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙　PBR0.28倍。2024年12月に発表された中期経営計画概要は相当強気（詳細は2025年5月発表予定）。株主還元強化策が出てくると潮目変わりそう	13
51	350	ちちざっぷ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙 PER3、中計やる気、バリュー株がやる気だすと凄いことになる	13
52	351	ブライ	神戸投資勉強会	東証PR	3864	三菱製紙	三菱製紙 割安小型で2倍の株価でも違和感なし	13
53	352	ピノキオ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙　業績回復が期待された今期まさかの赤字決算スタート。2Qでは利益面で回復がみられるものの売上数量・売上高は減少。円安メリット、原油安メリットのためマクロ的にはねらい目かPBR0.23で下値は限定的と思うが。	13
54	353	ヒロシ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙 次期中経骨子で28.3期営利200億に期待。	13
55	354	ののこ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙 重工の次は製紙。中計の詳細発表待ち。0.2倍台の低PBR	13
56	355	ヨシ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙 中期経営計画+トランプ氏の影響で円高と原油高に振れた場合は利益改善	13
57	356	ベリーピザ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙。強気の中計に対して割安。上期進捗悪いが期初計画時より原油価格は定位いいで推移しており、当初計画達成はそれほど高いハードルではない。	13
58	357	まこ	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙  円高銘柄　紙、パルプセクターに資金くるかと	13
59	358	たぬ吉	湘南投資勉強会	東証PR	3864	三菱製紙	三菱紙3864　28年3月期の営業利益率目標200億	13
60	359	とものり	湘南投資勉強会	東証PR	3864	三菱製紙	三菱製紙	13
61	1675	写楽保介	湘南投資勉強会	東証GR	264A	Schoo	Schoo 直近2Qで利益が出ていて、その勢いで25.9期も進捗したら、会社予想より上振れて着地しそう。	13
62	1676	emi	湘南投資勉強会	東証GR	264A	Schoo	schoo	13
63	1677	グラッチ	湘南投資勉強会	東証GR	264A	Schoo	Schoo  リスキリング、企業教育の効率化	13
64	1678	ゆき	湘南投資勉強会	東証GR	264A	Schoo	Schoo IPO直後で成長率に比較し時価総額が低いため	13
65	1679	Y.G.	湘南投資勉強会	東証GR	264A	Schoo	schoo SaaSのなかではトップレベルの伸び、リスキリング関連でテーマ的にも追い風	13
66	1680	ベリーピザ	湘南投資勉強会	東証GR	264A	Schoo	Schoo リスキリング関連。限界利益率高く、大幅増益期待。	13
67	1681	あんこ	神戸投資勉強会	東証GR	264A	Schoo	Schoo 去年上場。黒字化後営業利益6倍予想	13
68	1682	Lily	秋からIR説明会にどちらの勉強会でも参加させて頂いています。	東証GR	264a	Schoo	Schoo 経常利益増益率600%予想。	13
69	1683	ふくろう	湘南投資勉強会	東証GR	264A	Schoo	Schoo 高い成長性、高い限界利益率、低い解約率で利益伸びていくが、まだ黒字化して間もない段階で利益急増フェーズ。	13
70	1684	ぴょん	湘南投資勉強会	東証GR	264A	Schoo	Schoo 高利益率｡リスキリング支援恩恵	13
