	①2倍株	Unnamed: 1	Unnamed: 2	②上場廃止	Unnamed: 4	Unnamed: 5	③日経平均	Unnamed: 7	Unnamed: 8	④株式市場で起こること	Unnamed: 10	Unnamed: 11
0												
1	お名前(HN可)	2倍になりそうな銘柄	合計 / ポイント	お名前(HN可)	銘柄名	合計 / ポイント	お名前(HN可)をご記入ください。	年末の日経平均株価は？	合計 / ポイント	お名前(HN可)	今年株式市場で起こること	合計 / ポイント
2	えむ(湘南)		6	log		6	メイプル		3	やっしー		6
3	Bolsa		4	azuai		6	お蝶		3	ラッキー		6
4	gonta@株		4	たかたか		4	猫三昧		3	めがね		6
5	しかれども		4	たこ		4	リネラブ		3	ユーキ		5
6	愛媛のユウ		4	ロニー		4	ぴょん		3	DAIBOUCHOU		5
7	log		4	キリン＠神戸投資勉強会		4	日本酒軽		3	さくさく		5
8	ギデ		4	わちムシ		4	円蔵		3	リネラブ		4
9	VASHI		4	ほーちゃんのパパ		4	AKI		3	yossy		4
10	初心		4	愛媛のユウ		4	Lima		3	豚さがり		4
11	円蔵		4	ちょる子		4	EK		3	rei		4
12	yossy		4	ぱじぃた		2	バクタ		3	Kent		4
13	ヒロ		4	ギデ		2	end＠電力大好き		3	ヒデゾー		4
14	とっしー		4	sufo		2	まるのん		3	なつみ		4
15	ほーちゃんのパパ		4	初心		2	tony		3	うさみん		4
16	rokuroku		4	中田B		2	りょう		3	ゆうと		4
17	ramune		4	ほしいも		2	かもめ		3	さざなみ		4
18	モモクリン（momokurin）		4	まろまろ		2	ゆに		3	スカイラー		4
19	NY		4	しかれども		2	スーパーこさく		3	ほーちゃんのパパ		4
20	Yoshua		2	なべさん＠高配当バリュー投資家		2	grass hopper		3	めそ		4
21	ひむろ		2	やっしー		2	たっくん		3	あきら		4
22	たう		2	まるのん		2	ひむろ		3	さふらん		4
23	おいどん		2	シロモ		2	ちょる子		3	ののじ		4
24	えむ(神戸)		2	ritz9661		2	Chiharu24		3	たむっちょ		4
25	おざ		2	ケイ		2	ドットコムのトマト		3	あちし		4
26	一ノ瀬		2	ののこ🍣		2	ねふぇ		3	しょうり		3
27	ラッキー		2	sakumaT		2	Nori. H			カヌレ		3
28	蕎麦好き		2	こいけ		2	もす			ののこ🍣		3
29	フィナンシェ		2	Yoshua		2	ベリーピザ			羽根		3
30	さざなみ		2	しろまる		2	すみ			ギデ		3
31	睡眠		2	たむっちょ		2	とものり			ヒロ		3
32	あんこ		2	あお		2	Tat			アリエス		3
33	ヒデゾー		2	クニ		2	たかね			ミキスケ		3
34	Meril		2	らう		2	やっしー			愛媛のユウ		3
35	お多福。。		2	牛肉太郎		2	オニール好きの投資家			くろ		3
36	カヌレ		2	サントーシー		2	masa			けーさん@		3
37	なのなの		2	Chiharu24		2	momokurin			ぼんやり田中さん		3
38	断捨離(DSR)		2	むね坊主		2	小バンダ			あべんどT		3
39	ほみ株		2	ゆうと		2	五十嵐			モモクリン（momokurin）		3
40	ヨールト		2	ひんご		2	ののじ			TAKAS		2
41	ユーキ		2	にったあきら		2	アンテ＠株式投資			kenmo		2
42	hokusansan1		2	与野		2	写楽保介			まえだ（前田嘉一）		2
43	ia		2	スカイラー		2	よしぼん			もりお		2
44	くろ		2	ゆうき		2	初心			Yokabun		2
45	kazu4565		2	ヒロ		2	めがね			まろまろ		2
46	nt164		2	ミッチャン		2	neko4979			海運		2
47	えむじぇい		2	あきら		2	一人旅			秋吉義明		2
48	saku		2	ramune		2	roku			にったあきら		2
49	らう		2	end＠電力大好き		2	DAIBOUCHOU			どみの		2
50	オニール好きの投資家		2	gonta@株		2	yossy			ramune		2
51	kenmo		2	みま		2	お多福。。			Tommy		2
52	サントーシー		2	えびす		2	ヨールト			sakumaT		2
53	EK		2	ぬくごろ		2	ぺるる			一人旅		2
54	ロニー		2	とらほう		2	断捨離(DSR)			まるのん		2
55	うさみん		2	ボンボン		2	ramune			いちすけ		2
56	りょう		2	KM		2	さふらん			如水		2
57	なつみ		2	羽根		2	お花畑			ミッチャン		2
58	大陸浪人		2	のりぞー		2	ゆうと			えむ(神戸)		2
59	ボンボン		2	秋吉義明		2	shin 619			pekepeke		2
60	秋吉義明		2	きよし		2	深田恭子			ボントレ		2
61	だーしか		2	grass hopper		2	かぺぺ			sufo		2
62	AKI		2	円蔵			ぱふぇっと			きよし		2
63	たこ		2	エル川			だーしか			azuai		2
64	DAIBOUCHOU		2	ダンベルドア			kenmo			本屋		2
65	ボントレ		2	ayame			pekepeke			ドットコムのトマト		2
66	ひろたん		2	ゆっき			Yokabun			ひらはら		2
67	きよし		2	　ちちやす			ぱじぃた			JYO		2
68	深田恭子		2	きづ			happy			りんたん		2
69	neko4979		2	よしぼん			蕎麦好き			まぴ		2
70	くりごはん		2	もす			ayame			KM		2
71	roku		2	くりごはん			(空白)			ロニー		2
72	ぴょん		2	sasuke			しょうり			piyopiyodawan		2
73	やっしー		2	さざなみ			美波 			あい		2
74	いちすけ		2	HIKO			トニー			しかれども		2
75	さくさく		2	睡眠			keiko			矢部		2
76	あちし		2	rokuroku			ゆきお			たっくん		2
77	ゆっき		2	お花畑			yuko			なのなの		2
78	ポンポコたぬき		2	NY			豚さがり			お蝶		2
79	ブラウン		2	いちすけ			さくさく			くりごはん		2
80	sakumaT		2	らび			しかれども			断捨離(DSR)		2
81	フカカチ		2	なつみ			フックン			とおるがfire		2
82	とものり		2	フックン			hokusansan1			えびす		2
83	いっちゃん		2	けーさん@			モモクリン（momokurin）			茶々丸		1
