,pokemon_name,skill_name
0,ニャオハ,ひっかく
1,ニャオハ,しっぽをふる
2,ニャオハ,このは
3,ニャオハ,かみつく
4,ニャオハ,つめとぎ
5,ニャオハ,マジカルリーフ
6,ニャオハ,でんこうせっか
7,ニャオハ,タネばくだん
8,ニャオハ,とんぼがえり
9,ニャオハ,なやみのタネ
10,ニャオハ,きりさく
11,ニャオハ,エナジーボール
12,ニャオハ,じゃれつく
13,ニャオハ,リーフストーム
14,ニャオハ,かげぶんしん
15,ニャオハ,トリック
16,ニャオハ,トリックフラワー
17,ニャオハ,つじぎり
18,ニャオハ,はたきおとす
19,ニャオハ,グラスフィールド
20,ニャオハ,とっしん
21,ニャオハ,あまえる
22,ニャオハ,うそなき
23,ニャオハ,こうそくいどう
24,ニャオハ,どろかけ
25,ニャオハ,まもる
26,ニャオハ,アクロバット
27,ニャオハ,チャームボイス
28,ニャオハ,くさわけ
29,ニャオハ,からげんき
30,ニャオハ,スピードスター
31,ニャオハ,マジカルリーフ
32,ニャオハ,こらえる
33,ニャオハ,タネマシンガン
34,ニャオハ,とんぼがえり
35,ニャオハ,シャドークロー
36,ニャオハ,ねごと
37,ニャオハ,タネばくだん
38,ニャオハ,くさむすび
39,ニャオハ,ねむる
40,ニャオハ,ちょうはつ
41,ニャオハ,みがわり
42,ニャオハ,ギガドレイン
43,ニャオハ,エナジーボール
44,ニャオハ,じゃれつく
45,ニャオハ,てだすけ
46,ニャオハ,グラスフィールド
47,ニャオハ,わるだくみ
48,ニャオハ,くさのちかい
49,ニャオハ,リーフストーム
50,ニャオハ,ソーラービーム
51,ニャオハ,テラバースト
52,ニャオハ,まねっこ
53,ニャオハ,はなふぶき
54,ニャオハ,やどりぎのタネ
55,ニャオハ,サイドチェンジ
56,ニャオハ,ふいうち
57,ニャローテ,かみつく
58,ニャローテ,このは
59,ニャローテ,ひっかく
60,ニャローテ,つめとぎ
61,ニャローテ,しっぽをふる
62,ニャローテ,マジカルリーフ
63,ニャローテ,でんこうせっか
64,ニャローテ,タネばくだん
65,ニャローテ,とんぼがえり
66,ニャローテ,なやみのタネ
67,ニャローテ,きりさく
68,ニャローテ,エナジーボール
69,ニャローテ,じゃれつく
70,ニャローテ,リーフストーム
71,ニャローテ,かげぶんしん
72,ニャローテ,トリック
73,ニャローテ,トリックフラワー
74,ニャローテ,つじぎり
75,ニャローテ,はたきおとす
76,ニャローテ,グラスフィールド
77,ニャローテ,とっしん
78,ニャローテ,あまえる
79,ニャローテ,うそなき
80,ニャローテ,こうそくいどう
81,ニャローテ,どろかけ
82,ニャローテ,まもる
83,ニャローテ,けたぐり
84,ニャローテ,アクロバット
85,ニャローテ,チャームボイス
86,ニャローテ,くさわけ
87,ニャローテ,からげんき
88,ニャローテ,つばめがえし
89,ニャローテ,スピードスター
90,ニャローテ,マジカルリーフ
91,ニャローテ,ローキック
92,ニャローテ,なげつける
93,ニャローテ,こらえる
94,ニャローテ,タネマシンガン
95,ニャローテ,とんぼがえり
96,ニャローテ,シャドークロー
97,ニャローテ,かみなりパンチ
