,Date,Code,CompanyName,CompanyNameEnglish,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName,Open,High,Low,Close,Volume,DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare,PER,PBR,Capital,ROE
0,2025-09-22,13010,極洋,"KYOKUYO CO.,LTD.",1,食品,0050,水産・農林業,TOPIX Small 2,0111,プライム,5080.0,5090.0,4950.0,4980.0,73300.0,2025-05-12,11:00:00,13010,20250509539155,FYFinancialStatements_Consolidated_JP,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,302681000000,11079000000,10857000000,6740000000,567.48,,182125000000,68355000000,0.365,5600.14,5843000000,-9036000000,2149000000,7514000000,,,,130.0,130.0,,1554000000,0.229,,,,,,,,,,,,150.0,150.0,,0.217,,,,,,,,,,,,,,,,350000000000,12500000000,12500000000,8200000000,690.38,,true,true,false,false,false,12078283,200852,11877455,272792000000,9653000000,9672000000,7231000000,608.83,148549000000,51571000000,0.347,4341.98,,,,,,,,,,,,,,,,,,,,,7.21,0.89,60149849340.0,12.33
1,2025-09-22,130A0,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Veritas In Silico Inc.,5,医薬品,3250,医薬品,-,0113,グロース,719.0,720.0,695.0,707.0,32200.0,2025-02-13,13:00:00,130A0,20250212571016,FYFinancialStatements_NonConsolidated_JP,FY,2024-01-01,2024-12-31,2024-01-01,2024-12-31,2025-01-01,2025-12-31,235018000,-212000000,-233000000,-236000000,-37.11,,2248000000,2209000000,0.982,340.61,-217000000,-2005000000,848000000,173000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,163000000,170000000,168000000,26.39,,,false,false,false,false,6487114,,6371138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79,2.08,4586389598.0,7.75
2,2025-09-22,13320,ニッスイ,Nissui Corporation,1,食品,0050,水産・農林業,TOPIX Mid400,0111,プライム,1066.0,1073.0,1044.5,1044.5,3072900.0,2025-05-21,12:00:00,13320,20250521559959,FYFinancialStatements_Consolidated_JP,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,,,886126000000,31779000000,35301000000,27213000000,,,634878000000,285939000000,,,40379000000,-30393000000,-11452000000,18686000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-09-22,13330,マルハニチロ,Maruha Nichiro Corporation,1,食品,0050,水産・農林業,TOPIX Mid400,0111,プライム,3440.0,3456.0,3425.0,3439.0,267900.0,2025-05-12,15:30:00,13330,20250508533625,FYFinancialStatements_Consolidated_JP,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,1078631000000,30381000000,32254000000,23264000000,461.9,,681211000000,275396000000,0.337,4557.73,39179000000,-1886000000,-29352000000,48422000000,,50.0,,60.0,110.0,,5559000000,0.238,,,,,,,,,,50.0,,60.0,110.0,,0.317,,,,,,,,,,,,,,,,1080000000000,27000000000,26000000000,17500000000,347.44,,false,true,false,false,false,50578837,209805,50367896,524625000000,6828000000,14434000000,18273000000,362.8,386109000000,125219000000,0.324,2485.98,,,,,,,,,,,,,,,,,,,,,9.9,0.75,173940620443.0,7.62
4,2025-09-22,135A0,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,"VRAIN Solution,Inc.",10,情報通信・サービスその他,5250,情報･通信業,-,0113,グロース,2662.0,2850.0,2581.0,2825.0,216500.0,2025-04-14,16:00:00,135A0,20250414514580,FYFinancialStatements_NonConsolidated_JP,FY,2024-03-01,2025-02-28,2024-03-01,2025-02-28,2025-03-01,2026-02-28,2144000000,594000000,595000000,425000000,42.04,41.27,1873000000,1422000000,0.759,140.66,-161000000,-242000000,-69000000,488000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,1100000000,,,,,,,,,,3215000000,,,,,,,false,false,true,false,10110000,,10110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.08,28560750000.0,
5,2025-09-22,13750,ユキグニファクトリー,"YUKIGUNI FACTORY CO.,LTD.",1,食品,0050,水産・農林業,TOPIX Small 2,0111,プライム,1078.0,1079.0,1073.0,1078.0,70600.0,2025-05-09,15:30:00,13750,20250509537581,FYFinancialStatements_Consolidated_IFRS,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,53139000000,2419000000,,1502000000,37.66,37.65,37868000000,12525000000,0.327,309.98,5519000000,-2252000000,-2159000000,3903000000,,3.0,,12.0,15.0,,598000000,0.398,,,,,,,,,,4.0,,12.0,16.0,,0.318,,,,,,,,,,,,,,,,51970000000,3270000000,,2010000000,50.39,,false,false,false,false,,39910700,6666,39891696,34486000000,2427000000,2229000000,-3000000,-0.08,48345000000,24542000000,0.508,615.03,,,,,,,,,,,,,,,,,,,,,21.39,3.48,43023734600.0,16.26
6,2025-09-22,13760,カネコ種苗,"KANEKO SEEDS CO.,LTD.",1,食品,0050,水産・農林業,TOPIX Small 2,0112,スタンダード,1450.0,1454.0,1445.0,1452.0,16600.0,2025-07-11,15:30:00,13760,20250710511215,FYFinancialStatements_Consolidated_JP,FY,2024-06-01,2025-05-31,2024-06-01,2025-05-31,2025-06-01,2026-05-31,64508000000,1511000000,1666000000,1200000000,107.01,,49320000000,25013000000,0.507,2244.86,212000000,-1234000000,-629000000,1608000000,,11.0,,27.0,38.0,,428000000,0.355,,,,,,,,,,11.0,,27.0,38.0,,0.282,,,,,,,,,,,,,,,,66500000000,1900000000,2000000000,1500000000,134.62,,false,true,false,false,false,11772626,630023,11216045,64005000000,1444000000,1641000000,1193000000,106.41,48975000000,24397000000,0.498,2189.55,,,,,,,,,,,,,,,,,,,,,10.79,0.65,17093852952.0,6.0
7,2025-09-22,13770,サカタのタネ,SAKATA SEED CORPORATION,1,食品,0050,水産・農林業,TOPIX Small 1,0111,プライム,3680.0,3690.0,3640.0,3665.0,168400.0,2025-07-14,15:30:00,13770,20250709511068,FYFinancialStatements_Consolidated_JP,FY,2024-06-01,2025-05-31,2024-06-01,2025-05-31,2025-06-01,2026-05-31,92920000000,12257000000,12311000000,9711000000,222.58,,190986000000,161768000000,0.845,3729.66,5100000000,4066000000,-6669000000,22445000000,,30.0,,45.0,75.0,,3265000000,0.337,,,,,,,,,,35.0,,40.0,75.0,,0.36,,,,,,45500000000,5000000000,5000000000,4500000000,104.05,,,,,,95500000000,11000000000,11000000000,9000000000,208.09,,false,true,false,false,false,46410750,3161227,43632183,35968000000,1998000000,3751000000,4108000000,94.15,107144000000,97296000000,0.908,2249.65,,,,,,,,,,,,,,,,,,,,,17.61,0.98,170095398750.0,5.58
8,2025-09-22,13790,ホクト,HOKUTO CORPORATION,1,食品,0050,水産・農林業,TOPIX Small 2,0111,プライム,1950.0,1950.0,1922.0,1924.0,64000.0,2025-05-14,15:00:00,13790,20250513544894,FYFinancialStatements_Consolidated_JP,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,83104000000,6628000000,6953000000,4441000000,140.63,121.97,107620000000,56808000000,0.528,1817.38,12222000000,-9012000000,-1721000000,15069000000,,10.0,,40.0,50.0,,1567000000,0.356,,,,,,,,,,10.0,,,,,,,,,,,38100000000,-1330000000,-1160000000,280000000,8.95,,,,,,83600000000,4280000000,4650000000,4340000000,138.65,,false,true,false,false,false,33359040,2100597,31580742,57867000000,5171000000,5869000000,3577000000,113.27,97227000000,54169000000,0.557,1732.95,,,,,,24500000000,-2040000000,-1600000000,10000000,0.32,,,,,,56900000000,2570000000,3350000000,3470000000,110.86,13.88,1.06,64182792960.0,7.63
9,2025-09-22,137A0,Ｃｏｃｏｌｉｖｅ,"Cocolive,Inc.",10,情報通信・サービスその他,5250,情報･通信業,-,0113,グロース,1399.0,1400.0,1358.0,1384.0,13000.0,2025-07-11,15:30:00,137A0,20250711512558,FYFinancialStatements_NonConsolidated_JP,FY,2024-06-01,2025-05-31,2024-06-01,2025-05-31,2025-06-01,2026-05-31,1301000000,279000000,281000000,209000000,71.39,64.22,1057000000,889000000,0.839,298.57,221000000,,15000000,878000000,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,1518000000,314000000,315000000,231000000,77.86,,,false,false,false,false,2971000,,2929962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78,4.64,4111864000.0,26.08
