Date,Open,High,Low,Close,Volume
2024-07-19,2860.13,2871.2,2844.34,2860.83,1696303100
2024-07-18,2881.05,2893.89,2868.63,2868.63,1937142900
2024-07-17,2919.07,2927.17,2909.9,2915.21,1885383700
2024-07-16,2905.76,2920.85,2901.32,2904.5,1804998600
2024-07-12,2895.55,2914.92,2890.3,2894.56,2036835500
2024-07-11,2939.41,2946.6,2923.71,2929.17,1990591700
2024-07-10,2891.67,2909.58,2886.05,2909.2,2076425700
2024-07-09,2872.64,2907.21,2867.94,2895.55,1933812900
2024-07-08,2877.86,2887.61,2866.83,2867.61,1846993400
2024-07-05,2900.18,2906.8,2878.84,2884.18,1820438600
2024-07-04,2881.1,2900.91,2879.41,2898.47,1824756200
2024-07-03,2860.99,2875.27,2850.05,2872.18,1861999700
2024-07-02,2827.05,2860.65,2822.08,2856.62,2021957400
2024-07-01,2831.63,2838.67,2816.87,2824.28,1783063300
2024-06-28,2809.21,2821.86,2803.27,2809.63,1859495100
2024-06-27,2792.73,2797.19,2782.12,2793.7,1754823500
2024-06-26,2794.02,2806.59,2781.85,2802.95,1699825600
2024-06-25,2754.0,2788.77,2751.67,2787.37,1680819000
2024-06-24,2725.5,2749.59,2724.02,2740.19,1532842500
2024-06-21,2734.32,2749.09,2724.69,2724.69,2164731300
2024-06-20,2718.7,2727.26,2704.39,2725.54,1426708100
2024-06-19,2726.07,2735.36,2720.31,2728.64,1479883800
2024-06-18,2719.42,2721.82,2708.52,2715.76,1543904100
2024-06-17,2724.9,2724.9,2692.52,2700.01,1702316500
2024-06-14,2716.33,2755.23,2716.33,2746.61,2292197300
2024-06-13,2767.85,2770.89,2731.27,2731.78,1810207600
2024-06-12,2754.11,2762.1,2752.42,2756.44,1640049300
2024-06-11,2789.24,2801.98,2774.01,2776.8,1527863700
2024-06-10,2759.87,2785.07,2759.87,2782.49,1465525700
2024-06-07,2751.85,2760.52,2748.35,2755.03,1459965100
2024-06-06,2765.41,2773.33,2754.71,2757.23,1777125600
2024-06-05,2769.21,2770.49,2743.03,2748.22,1841860900
2024-06-04,2784.96,2800.23,2777.6,2787.48,1859363500
2024-06-03,2791.68,2809.53,2791.64,2798.07,1816447200
2024-05-31,2738.46,2775.24,2738.46,2772.49,3127183700
2024-05-30,2712.81,2731.39,2696.05,2726.2,1830695700
2024-05-29,2767.69,2783.82,2740.61,2741.62,1957271800
2024-05-28,2766.15,2772.08,2761.19,2768.5,1671250600
2024-05-27,2749.6,2766.36,2746.55,2766.36,1491536000
2024-05-24,2718.41,2748.71,2715.65,2742.54,1525248600
2024-05-23,2742.69,2757.34,2722.99,2754.75,1693202200
2024-05-22,2753.93,2757.86,2737.36,2737.36,1702357000
2024-05-21,2773.23,2785.68,2758.86,2759.72,1744653200
2024-05-20,2746.45,2784.27,2743.8,2768.04,1934351200
2024-05-17,2723.68,2748.62,2721.36,2745.62,2009476700
2024-05-16,2741.39,2746.28,2718.94,2737.54,2361208800
2024-05-15,2739.45,2758.11,2730.72,2730.88,2285761200
2024-05-14,2728.49,2742.69,2712.24,2730.95,2230188900
2024-05-13,2723.94,2729.49,2712.05,2724.08,2078418000
2024-05-10,2726.2,2753.81,2718.91,2728.21,2446757400
2024-05-09,2716.77,2730.52,2706.14,2713.46,1811900300
2024-05-08,2735.14,2740.15,2706.43,2706.43,1810434700
2024-05-07,2749.74,2750.61,2727.72,2746.22,1762473400
2024-05-02,2721.01,2735.51,2713.42,2728.53,1594265400
2024-05-01,2727.92,2740.0,2715.91,2729.4,1736064800
2024-04-30,2713.83,2747.34,2710.93,2743.17,2198508400
2024-04-26,2666.23,2694.06,2653.51,2686.48,2047877600
2024-04-25,2692.26,2699.53,2663.01,2663.53,1749682000
2024-04-24,2678.83,2710.98,2676.61,2710.73,1865509800
2024-04-23,2683.32,2685.76,2656.59,2666.23,1531100300
2024-04-22,2649.5,2673.46,2643.91,2662.46,1824025500
2024-04-19,2659.95,2662.55,2598.45,2626.32,2301617500
2024-04-18,2653.43,2689.1,2650.78,2677.45,1644571900
2024-04-17,2704.62,2704.9,2663.15,2663.15,1901465300
2024-04-16,2729.57,2731.42,2690.13,2697.11,2099015900
2024-04-15,2732.29,2753.2,2719.47,2753.2,1717626700
2024-04-12,2762.0,2768.33,2750.99,2759.64,1748868600
2024-04-11,2718.76,2749.16,2718.76,2746.96,1723064000
2024-04-10,2741.8,2752.22,2739.79,2742.79,1584513800
2024-04-09,2739.27,2755.08,2732.64,2754.69,1665338400
2024-04-08,2722.61,2740.55,2718.2,2728.32,1699813200
2024-04-05,2699.53,2706.08,2679.73,2702.62,1941817000
2024-04-04,2731.5,2752.21,2728.14,2732.0,2106226700
2024-04-03,2697.47,2715.99,2686.79,2706.51,1922988600
2024-04-02,2726.61,2742.74,2705.47,2714.45,1888384100
2024-04-01,2782.19,2784.3,2713.14,2721.22,2032880800
2024-03-29,2761.14,2776.65,2757.72,2768.62,1849508700
2024-03-28,2766.19,2780.27,2745.04,2750.81,2100777900
2024-03-27,2794.1,2812.45,2789.77,2799.28,1999140800
2024-03-26,2772.69,2786.86,2767.46,2780.8,1665202000
2024-03-25,2804.54,2806.09,2777.58,2777.64,1716443400
2024-03-22,2807.83,2820.45,2798.9,2813.22,2030719600
2024-03-21,2781.78,2799.13,2780.61,2796.21,2325981200
2024-03-19,2718.04,2750.97,2713.69,2750.97,2055557600
2024-03-18,2688.46,2723.52,2685.84,2721.99,1963460100
2024-03-15,2651.95,2680.71,2651.95,2670.8,2485672000
2024-03-14,2646.64,2662.89,2636.57,2661.59,1786637400
2024-03-13,2675.55,2681.22,2631.9,2648.51,1807077800
2024-03-12,2639.69,2657.53,2617.9,2657.24,1971484900
2024-03-11,2697.94,2698.27,2639.03,2666.83,2219585700
2024-03-08,2714.62,2742.75,2702.94,2726.8,2379593800
2024-03-07,2744.14,2755.24,2713.67,2718.54,2266019000
2024-03-06,2707.34,2733.9,2702.77,2730.67,1996821900
2024-03-05,2696.68,2724.86,2694.58,2719.93,1898765400
2024-03-04,2719.84,2722.42,2702.19,2706.28,2017339500
2024-03-01,2676.97,2712.29,2675.91,2709.42,1913428400
2024-02-29,2666.05,2681.4,2654.43,2675.73,2496104200
2024-02-28,2678.85,2682.91,2667.05,2674.95,1978310600
2024-02-27,2674.34,2692.3,2672.79,2678.46,1940322500
2024-02-26,2674.19,2686.27,2666.12,2673.62,1982546300
2024-02-22,2640.23,2663.4,2640.13,2660.71,1872530700
2024-02-21,2625.53,2630.82,2614.89,2627.3,1642029500
2024-02-20,2645.75,2648.92,2625.07,2632.3,1719443800
2024-02-19,2625.32,2639.86,2623.93,2639.69,1725464800
2024-02-16,2614.04,2639.32,2613.09,2624.73,2358707900
2024-02-15,2598.88,2599.72,2581.87,2591.85,2141574600
2024-02-14,2598.04,2598.49,2573.7,2584.59,2016777100
2024-02-13,2579.33,2613.94,2577.23,2612.03,2251037500
2024-02-09,2560.96,2576.38,2552.09,2557.88,2255888000
2024-02-08,2557.35,2572.41,2542.72,2562.63,2196311400
